claim_id,annotator_pseudo_id,decision,timestamp,guideline_version
G0001,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0001,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0001,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0002,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0002,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0002,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0003,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0003,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0003,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0004,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0004,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0004,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0005,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0005,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0005,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0006,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0006,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0006,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0007,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0007,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0007,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0008,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0008,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0008,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0009,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0009,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0009,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0010,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0010,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0010,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0011,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0011,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0011,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0012,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0012,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0012,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0013,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0013,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0013,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0014,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0014,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0014,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0015,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0015,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0015,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0016,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0016,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0016,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0017,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0017,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0017,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0018,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0018,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0018,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0019,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0019,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0019,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0020,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0020,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0020,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0021,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0021,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0021,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0022,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0022,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0022,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0023,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0023,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0023,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0024,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0024,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0024,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0025,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0025,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0025,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0026,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0026,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0026,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0027,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0027,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0027,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0028,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0028,A2,0,2026-09-01T10:00:00+00:00,v1.0
G0028,A3,0,2026-09-01T10:00:00+00:00,v1.0
G0029,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0029,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0029,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0030,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0030,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0030,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0031,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0031,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0031,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0032,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0032,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0032,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0033,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0033,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0033,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0034,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0034,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0034,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0035,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0035,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0035,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0036,A1,1,2026-09-01T10:00:00+00:00,v1.0
G0036,A2,1,2026-09-01T10:00:00+00:00,v1.0
G0036,A3,1,2026-09-01T10:00:00+00:00,v1.0
G0037,A1,0,2026-09-01T10:00:00+00:00,v1.0
G0037,A2,0,2026-09-01T10:00:00+00:00,v1.0
