id,text,label,authority,publisher,source_url,label_provenance,is_factchecking_site
30348,Mehmet Ali Erbil’in kalp krizi geçirdiği iddiası. Mehmet Ali Erbil’in kalp krizi geçirdiği iddia edildi.,1,0.98,teyit.org,https://teyit.org/analiz/mehmet-ali-erbilin-kalp-krizi-gecirdigi-iddiasi,rss_factcheck_publisher_attributed,True
30349,"Mansur Yavaş, Filenin Sultanları için yapılan kutlama videosu ve Endonezya'daki yanardağ: Haftanın yanlış bilgi quizi 🔍. Haftanın yanlış bilgi quizine katılın (4-11 Eylül).",1,0.98,teyit.org,https://teyit.org/oyun/mansur-yavas-filenin-sultanlari-icin-yapilan-kutlama-videosu-ve-endonezyadaki-yanardag-haftanin-yanlis-bilgi-quizi-,rss_factcheck_publisher_attributed,True
30350,Diyarbakır'da çift dilli tabelaların yeni asıldığı iddiası. Diyarbakır’da Türkçe-Kürtçe trafik levhalarının yeni yerleştirildiği iddia edildi.,1,0.98,teyit.org,https://teyit.org/analiz/diyarbakirda-cift-dilli-tabelalarin-yeni-asildigi-iddiasi,rss_factcheck_publisher_attributed,True
30351,Mansur Yavaş Yeni Parti'ye katılma kararı mı aldı?. Mansur Yavaş’ın CHP’den istifa edip Yeni Parti’ye katılma kararı aldığı iddia edildi.,1,0.98,teyit.org,https://teyit.org/analiz/mansur-yavas-yeni-partiye-katilma-karari-mi-aldi,rss_factcheck_publisher_attributed,True
30352,CHP'nin Anıtkabir ziyaretini gösteren videonun eski tarihli olduğu iddiası. CHP’nin Anıtkabir ziyaretini gösteren bir videonun eski tarihli olduğu iddia edildi.,1,0.98,teyit.org,https://teyit.org/analiz/chpnin-anitkabir-ziyaretini-gosteren-videonun-eski-tarihli-oldugu-iddiasi,rss_factcheck_publisher_attributed,True
30353,Endonezya'daki yanardağ patlamasını gösteren video gerçek mi?. Paylaşılan videonun Endonezya'daki yanardağ patlamasını gösterdiği iddia edildi.,1,0.98,teyit.org,https://teyit.org/analiz/endonezyadaki-yanardag-patlamasini-gosteren-video-gercek-mi,rss_factcheck_publisher_attributed,True
30354,"Mamografi çekimi kanser hücrelerini patlatarak yayılmasına yol açar mı?. Sosyal medyada mamografi çekiminde memeye 23 kilogramlık basınç uygulanarak lenf nodlarının ve kitlelerin sivilce gibi patlatıldığı, bu sayede toksinler ile kanser hücrelerinin vücuda yayıldığı ve her mamografi çekiminin kanser riskini yüzde 2 artırdığı iddia ediliyor.",1,0.98,teyit.org,https://teyit.org/analiz/mamografi-cekimi-kanser-hucrelerini-patlatarak-yayilmasina-yol-acar-mi,rss_factcheck_publisher_attributed,True
30355,"Brezilya, ülkesindeki İsrail Büyükelçiliği'ni kapattı mı?. Sosyal medyada yapılan paylaşımlarda Brezilya’nın, ülkesinde bulunan İsrail Büyükelçiliği’ni kapattığı iddia edildi.",1,0.98,teyit.org,https://teyit.org/analiz/brezilya-ulkesindeki-israil-buyukelciligini-kapatti-mi,rss_factcheck_publisher_attributed,True
30356,Video Ukrayna'da bir çatışmada askerin üzerinden tank geçtiği anları mı gösteriyor?. Videonun Ukrayna'da yaşanan bir çatışma sırasında bir Ukrayna askerinin üzerinden tank geçtiği anları gösterdiği iddia edildi.,1,0.98,teyit.org,https://teyit.org/analiz/videonun-rusya-ukrayna-savasindaki-bir-catismada-askerin-uzerinden-tank-gectigi-anlari-gosterdigi-iddiasi,rss_factcheck_publisher_attributed,True
30357,"Hastanede Porno Film Oynatıldığı Vurgusuyla Paylaşılan “Semen Toplama Odası”ndan Görüntü. Hastanede spermiogram testi için erkeklerin sperm örneği verdiği özel odada ekranda yetişkinlere yönelik filmin açıldığı görülen video, “hastanede porno oynatıldığı” iddiasıyla paylaşıldı.     Düzce Üniversitesi Araştırma ve Uygulama Hastanesi’nde çekilen bir videoda hastanedeki bir odadaki bilgisayar ekranında cinsel içerikli film oynatıldığı görüldü.   Düzce’den yerel basın, üniversite araştırma hastanesinde kaydedilen görüntüyü “kapısı açık odadaki [...] Hastanede Porno Film Oynatıldığı Vurgusuyla Paylaşılan “Semen Toplama Odası”ndan Görüntü yazısı ilk önce Malumatfuruş üzerinde ortaya çıktı.",1,0.97,malumatfurus.org,https://www.malumatfurus.org/hastane-sperm-odasi/,rss_factcheck_publisher_attributed,True
