query_index,query_snippet,type,latency_ms,nli_bypassed
1,"ABD’de yeni çıkan bir yasa ile, “küçük ç",no_cache,1471.2699000083376,False
2,Çeşitli Kodlarla Telefonunuzun Dinlenip ,no_cache,545.131400009268,False
3,Çin'in Ay'a götürdüğü pamuk tohumlarının,no_cache,473.06879999814555,False
4,Galatasaray’ın 2000 yılında aldığı UEFA ,no_cache,512.7906999987317,False
5,B sınıfı ehliyete sahip olmanın 125 cc’y,no_cache,259.19389999762643,False
6,Videonun Rus arama kurtarma personelinin,no_cache,585.5376999970758,False
7,Bir X hesabı tarafından 21 Nisan 2024 ta,no_cache,329.218500002753,False
8,TRT Haber'in “3 bin yıllık cami restore ,no_cache,223.42629999911878,False
9,"Eski Dışişleri Bakanı Tevfik Rüştü Aras,",no_cache,547.9067999986,False
10,Anadolu Ajansının Taksim'de Doğal Gaz Bu,no_cache,415.60770000796765,False
11,Biraz Yorgunum Başlıklı Şiirin Erdem Bay,no_cache,468.886200003908,False
12,İnsan ve nesneleri görünmez yapabilen “M,no_cache,583.1330999935744,False
13,"2020 İslamilik Endeksi’ne göre, İslam’a ",no_cache,262.4243000027491,False
14,videodaki görüntülerin Sudan İç Savaşı’n,no_cache,444.9456000002101,False
15,Andrew Tate'in Greta Thunberg'e Yanıt Vi,no_cache,764.784699989832,False
16,Diyanetin baldızla zinanın nikaha zarar ,no_cache,559.0626999910455,False
17,445 kg’lık bir adamın X-Ray görünümü gör,no_cache,271.44710000720806,False
18,Epstein'i Tel Aviv'de bir berberde göste,no_cache,497.754600000917,False
19,Adana’da 6 milyar dolarlık jelibon bulun,no_cache,277.68810000270605,False
20,Erdoğan’dan Şehirleri Bombalama Talimatı,no_cache,509.9396000005072,False
21,Yalancının Mumu YaTSıya Kadar Yanar Atas,no_cache,1193.9741999958642,False
22,bir araştırmanın pandeminin COVID geçirm,no_cache,292.25460000452586,False
23,bir kişinin küre şeklindeki bir sanat es,no_cache,310.9441999986302,False
24,Ukraynalı Satranç Oyuncusu Anna Muzychuk,no_cache,327.67309999326244,False
25,"TSK, Kimyasal Silah Kullanıyor",no_cache,328.2403999910457,False
26,Darülaceze'ye nakledilecek depremzede ço,no_cache,517.617200006498,False
27,Kanada-Fas maçında TRT spikerinin devre ,no_cache,271.3818999909563,False
28,Videonun Jeffrey Epstein'ın Adasında İşk,no_cache,933.8653000013437,False
29,Utah'da gizemli bir monolit bulunduğu,no_cache,377.21269999747165,False
30,Bir X hesabı tarafından 20 Nisan 2025’te,no_cache,288.3287000004202,False
31,Bandırma 17 Eylül Üniversitesi'nin Mezun,no_cache,230.53679999429733,False
32,Bitlis'teki cami minaresine AK Parti'nin,no_cache,532.6914000033867,False
33,Shakira'yı Türkiye’de bir markette göste,no_cache,443.1360000016866,False
34,Bir X hesabı tarafından 14 Eylül 2024 ta,no_cache,358.56049999711104,False
35,Uçağın üzerindeki insanları gösteren fot,no_cache,454.1587999992771,False
36,İngiltere’nin hamile ve emziren kadınlar,no_cache,632.3981000023196,False
37,Bir erkeğin EKG kalp monitörünün elektro,no_cache,1705.481900004088,False
38,"Ben Timur zamanında gelseydim, O’nun yap",no_cache,1121.789600001648,False
39,Hırvatistan’da 4 lira 20 kuruşa ev satıl,no_cache,243.8547999918228,False
40,Videodaki şeffaf kanatlı kelebek gerçek,no_cache,378.9435000071535,False
41,Fotoğrafın Erdoğan ve Soros'u aynı masad,no_cache,397.23879999655765,False
42,Dünyada En Kısa Süre Orucun Tutulduğu Ye,no_cache,748.9958000078332,False
43,"Rus güçlerinin, ele geçirdiği Mariupol ş",no_cache,642.0088000013493,False
44,ki videonun Rusya-Ukrayna çatışmaları sı,no_cache,798.0899000103818,False
45,"Video, yüklü kamyonun uçurumdan manevra ",no_cache,639.2125999991549,False
46,İstanbul Havalimanı'nın şantiye alanını ,no_cache,388.03180000104476,False
47,"Akşam, 'Atatürk Havalimanı güvenli' habe",no_cache,476.505200000247,False
48,Görseldeki burç isimlerinin Osmanlı Devl,no_cache,308.58560001070146,False
49,Epstein ile Suudi Veliaht Prensi Selman',no_cache,699.8237999941921,False
50,Bir X hesabı tarafından 20 Kasım 2025 ta,no_cache,351.1884000035934,False
51,Koronavirüsün Hiçbir Zaman İzole Edil(e),no_cache,333.4787000057986,False
52,Bir Facebook hesabı tarafından 29 Ocak’t,no_cache,307.6490000094054,False
53,Hürriyet gazetesinin Formula 1’in 2025 s,no_cache,269.64840000437107,False
54,Cheetos’un şeklini maskotunun testisleri,no_cache,412.1154000022216,False
55,Konya Şeker’in 17 milyar 863 milyon TL b,no_cache,260.18569999723695,False
56,daki Augustus Tapınağı,no_cache,337.4047999968752,False
57,görselde yer alan tablonun Jeffrey Epste,no_cache,271.58320001035463,False
58,Fotoğrafın Köpek ve Çita Hız Yarışına Ai,no_cache,433.73350000183564,False
59,Okullarda pandemi nedeniyle resim ve müz,no_cache,358.9367999957176,False
60,Lübnan'daki patlamayı IŞİD'in üstlendiği,no_cache,204.81400001153816,True
61,Fotoğrafın 28 Yıldır Tır Şoförlüğü Yapan,no_cache,291.253899995354,False
62,Videoda İsrail'in Gazze'ye Yönelik Saldı,no_cache,974.8613999981899,False
63,"Linus Pauling, hemoglobin molekülünün de",no_cache,757.2053999901982,False
64,Görselin ekmek çaldığı iddiasıyla mahkem,no_cache,486.5427000040654,False
65,İçişleri Bakanlığı logosu bulunan seçim ,no_cache,415.4125000059139,False
66,Japonya Osaka’da Hamidiye markalı su sat,no_cache,489.726800005883,False
67,Yunanistan Başbakanı’nın yer aldığı vide,no_cache,546.3789000059478,False
68,Bir Facebook hesabı tarafından 29 Hazira,no_cache,294.1932999965502,False
69,Yerli tütün kullanımının 14 yıl içinde y,no_cache,234.68090000096709,False
70,Kayanın altındaki binaları gösteren foto,no_cache,465.8787999942433,False
71,Görüntülerin Kahramanmaraş'ta deprem önc,no_cache,400.4974999988917,False
72,Görselde yer alan COVID-19 aşılarının et,no_cache,280.00080000492744,False
73,Yüzü görünen ve elinde kitap tutan bir k,no_cache,850.1526000036392,False
74,"The Matrix filmindeki kodlar, suşi tarif",no_cache,610.5132999946363,False
75,Haritanın Üzerine Takip Cihazı Takılan B,no_cache,240.059999996447,False
76,Ülker'in Coco Star Adlı Ürününde Hindist,no_cache,487.44539999461267,False
77,"Fotoğraf, Atatürk’ün Selanik'te 1902’de ",no_cache,244.8366999888094,False
78,Türkiye’nin internet hızında 103. sırada,no_cache,212.32400000735652,False
79,Fotoğrafın Temel Reis Popeye Karakterine,no_cache,655.5459999945015,False
80,Videonun Almanya'da Nazizm sembolüne boy,no_cache,615.9660999983316,False
81,Videodaki yıldırım görüntüsü gerçek,no_cache,293.8209999992978,False
82,Fotoğraftaki Kişinin Taliban Tarafından ,no_cache,738.8349000102608,False
83,Fotoğraf Brezilya'daki tek bir kaju ağac,no_cache,465.9213999984786,False
84,"Kaza ve Kader, Talih ve Tesadüf Tabirler",no_cache,1018.1800999998813,False
85,İngiliz Mareşal Birdwood'un Atatürk'ün c,no_cache,507.2893999895314,False
86,Konya Tuzlukçu Belediyesi’nin asgari ücr,no_cache,274.50929999758955,False
87,Şeffaf ekranlı dizüstü bilgisayar gerçek,no_cache,382.7762000000803,False
88,Fosforlu kediler gerçek,no_cache,317.68200000806246,False
89,Çin'in Doğu Türkistan politikalarının ar,no_cache,297.4197000003187,False
90,TCDD Makinist Alımlarında Erkek Olma Şar,no_cache,535.6449000100838,False
91,Görüntülerin Kırşehir'de Diyarbakır Tatl,no_cache,335.54840000579134,False
92,videonun ölmek istemedikleri için kampla,no_cache,648.0819999997038,False
93,2012 Londra Olimpiyatları Açılış Törenin,no_cache,273.26599998923484,False
94,Erdoğan'ın yedinci torununun ABD'de doğd,no_cache,638.2412999955704,False
95,A Haber’in seçim analisti olarak ekrana ,no_cache,737.8420999884838,False
96,Konya'da ‘chemtrails’ ile havadan zehirl,no_cache,338.61459999752697,False
97,Konya Valisi Orhan Toprak'ın çocuklarını,no_cache,621.2916999938898,False
98,Görseldeki evlerin Suriyeliler için yapı,no_cache,349.28589999617543,False
99,Dudullu-Bostancı metro hattının açılışın,no_cache,515.3592999995453,False
100,Japonya’da el yıkama lavabosu tuvalete t,no_cache,485.62890000175685,False
0,"ABD’de yeni çıkan bir yasa ile, “küçük ç",cache_hit_in_memory,0.2165000041713938,False
0,Çeşitli Kodlarla Telefonunuzun Dinlenip ,cache_hit_in_memory,0.12399999832268804,False
0,Çin'in Ay'a götürdüğü pamuk tohumlarının,cache_hit_in_memory,0.10400000610388815,False
0,Galatasaray’ın 2000 yılında aldığı UEFA ,cache_hit_in_memory,0.0999000039882958,False
0,B sınıfı ehliyete sahip olmanın 125 cc’y,cache_hit_in_memory,0.07480000203941017,False
0,Videonun Rus arama kurtarma personelinin,cache_hit_in_memory,0.0712000037310645,False
0,Bir X hesabı tarafından 21 Nisan 2024 ta,cache_hit_in_memory,0.07299998833332211,False
0,TRT Haber'in “3 bin yıllık cami restore ,cache_hit_in_memory,0.06999999459367245,False
0,"Eski Dışişleri Bakanı Tevfik Rüştü Aras,",cache_hit_in_memory,0.07150000601541251,False
0,Anadolu Ajansının Taksim'de Doğal Gaz Bu,cache_hit_in_memory,0.08069998875726014,False
0,Biraz Yorgunum Başlıklı Şiirin Erdem Bay,cache_hit_in_memory,0.07270000060088933,False
